Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
giants,at eagles,jaguars,titans,at colts,at redskins,at 49ers,saints,at falcons,buccaneers,redskins,at panthers,Bye,bears,eagles,cowboys,at texans,at cowboys
redskins,at jaguars,texans,colts,at saints,giants,cowboys,at cardinals,at eagles,packers,at giants,at cowboys,Bye,at titans,falcons,at buccaneers,panthers,eagles
eagles,giants,at titans,at cowboys,Bye,colts,at rams,at jaguars (Lon),redskins,panthers,at buccaneers,falcons,cowboys,at saints,at giants,texans,vikings,at redskins
cowboys,buccaneers,at colts,eagles,at panthers,titans,at redskins,lions,at texans,Bye,at seahawks,redskins,at eagles,at falcons,jaguars,at giants,saints,giants
jets,colts,at dolphins,at jaguars,broncos,packers,vikings,at bills,patriots,at browns,at lions,texans,dolphins,Bye,at bears,at titans,bills,at patriots
bills,patriots,bears,at texans,at packers,at vikings,titans,jets,dolphins,Bye,at patriots,chargers,at ravens,lions,at colts,jaguars,at jets,at dolphins
dolphins,at vikings,jets,lions,at bengals,patriots,at texans,at colts,at bills,bears,Bye,jaguars,at jets,at patriots,titans,raiders,at packers,bills
patriots,at bills,chiefs,at bears,Bye,at dolphins,packers,texans,at jets,at steelers,bills,vikings,at titans,dolphins,at lions,colts,at jaguars,jets
jaguars,redskins,at giants,jets,steelers,at chiefs,at colts,eagles (Lon),Bye,at titans,texans,at dolphins,at texans,colts,at cowboys,at bills,patriots,titans
titans,at texans,eagles,at giants,texans,at cowboys,at bills,ravens,at chargers (Lon),jaguars,Bye,at colts,patriots,redskins,at dolphins,jets,colts,at jaguars
texans,titans,at redskins,bills,at titans,browns,dolphins,at patriots,cowboys,colts,at jaguars,at jets,jaguars,Bye,at broncos,at eagles,giants,at colts
colts,at jets,cowboys,at redskins,giants,at eagles,jaguars,dolphins,Bye,at texans,at raiders,titans,bengals,at jaguars,bills,at patriots,at titans,texans
panthers,saints,at buccaneers,bengals,cowboys,at falcons,Bye,at browns,ravens,at eagles,at steelers,giants,buccaneers,seahawks,at saints,at lions,at redskins,falcons
falcons,ravens,at browns,at buccaneers,Bye,panthers,at steelers,at packers,giants,cardinals,at saints,at eagles,saints,cowboys,at redskins,bengals,buccaneers,at panthers
buccaneers,at cowboys,panthers,falcons,browns,at bengals,Bye,steelers,at bears,at giants,eagles,saints,at panthers,49ers,at ravens,redskins,at falcons,at saints
saints,at panthers,at bengals,rams,redskins,Bye,browns,at giants,steelers,at vikings,falcons,at buccaneers,at falcons,eagles,panthers,at ravens,at cowboys,buccaneers
Broncos,at 49ers,raiders,browns,at jets,at ravens,chargers,rams,at cardinals,seahawks,at bengals,steelers,at raiders,Bye,texans,at chiefs,at chargers,chiefs
Chiefs,at raiders,at patriots,at steelers,Bye,jaguars,cardinals,49ers,at browns,at rams (Mex),chargers,ravens,at chargers,raiders,at seahawks,broncos,bengals,at broncos
Chargers,at browns,49ers,at seahawks,ravens,raiders,at broncos,bengals,titans (Lon),Bye,at chiefs,at bills,chiefs,at steelers,at rams,cardinals,broncos,at raiders
Raiders,chiefs,at broncos,at ravens,rams,at chargers,seahawks (Lon),Bye,at bengals,at 49ers,colts,at cardinals,broncos,at chiefs,browns,at dolphins,steelers,chargers
Lions,at bears,seahawks,at dolphins,at 49ers,rams,bears,at cowboys,at vikings,Bye,jets,packers,vikings,at bills,patriots,panthers,at cardinals,at packers
Bears,lions,at bills,patriots,at cardinals,seahawks,at lions,vikings,buccaneers,at dolphins,at packers,rams,Bye,at giants,jets,packers,at 49ers,at vikings
Packers,at rams,vikings,cardinals,bills,at jets,at patriots,falcons,at seahawks,at redskins,bears,at lions,Bye,at vikings,49ers,at bears,dolphins,lions
Vikings,dolphins,at packers,49ers,at seahawks,bills,at jets,at bears,lions,saints,Bye,at patriots,at lions,packers,cardinals,at rams,at eagles,bears
Cardinals,seahawks,at rams,at packers,bears,49ers,at chiefs,redskins,broncos,at falcons,Bye,raiders,at 49ers,rams,at vikings,at chargers,lions,at seahawks
Rams,packers,cardinals,at saints,at raiders,at lions,eagles,at broncos,at 49ers,chiefs (Mex),Bye,at bears,seahawks,at cardinals,chargers,vikings,at seahawks,49ers
Seahawks,at cardinals,at lions,chargers,vikings,at bears,at raiders (Lon),Bye,packers,at broncos,cowboys,49ers,at rams,at panthers,chiefs,at 49ers,rams,cardinals
49ers,broncos,at chargers,at vikings,lions,at cardinals,giants,at chiefs,rams,raiders,Bye,at seahawks,cardinals,at buccaneers,at packers,seahawks,bears,at rams
Ravens,at falcons,steelers,raiders,at chargers,broncos,Bye,at titans,at panthers,bengals,browns,at chiefs,bills,at bengals,buccaneers,saints,at browns,at steelers
Steelers,bengals,at ravens,chiefs,at jaguars,Bye,falcons,at buccaneers,at saints,patriots,panthers,at broncos,browns,chargers,at bengals,at browns,at raiders,ravens
Browns,chargers,falcons,at broncos,at buccaneers,at texans,at saints,panthers,chiefs,jets,at ravens,bengals,at steelers,Bye,at raiders,steelers,ravens,at bengals
Bengals,at steelers,saints,at panthers,dolphins,buccaneers,Bye,at chargers,raiders,at ravens,broncos,at browns,at colts,ravens,steelers,at falcons,at chiefs,browns
