Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
giants,saints.4,at redskins.6,at panthers.9,bears.2,jaguars.6,titans.10,at falcons.10,Bye,buccaneers.5,at texans.16,at cowboys.0,at colts.11,eagles.5,redskins.3,at eagles.0,at 49ers.7,cowboys.0
redskins,panthers.13,giants.6,at cowboys.10,at saints.9,falcons.9,cowboys.9,at buccaneers.14,Bye,at cardinals.13,at eagles.3,colts.6,at jaguars.4,texans.12,at giants.3,packers.7,at titans.10,eagles.0
eagles,colts.0,at cowboys.5,vikings.4,at buccaneers.5,Bye,panthers.5,at jaguars.0 (Lon),at rams.3,texans.4,redskins.3,at saints.1,cowboys.3,at giants.5,at titans.1,giants.0,falcons.13,at redskins.0
cowboys,at falcons.8,eagles.5,redskins.10,at panthers.8,saints.8,at redskins.9,at texans.2,buccaneers.15,Bye,titans.4,giants.0,at eagles.3,at seahawks.3,jaguars.11,lions.3,at colts.14,at giants.0
jets,at lions.14,colts.2,dolphins.5,at titans.6,Bye,at bears.11,vikings.8,patriots.9,at dolphins.10,at browns.9,packers.12,broncos.7,at jaguars.6,at bills.4,texans.11,bills.5,at patriots.0
bills,at packers.9,titans.1,chargers.14,at ravens.14,at vikings.7,lions.12,at patriots.6,jaguars.10,at colts.9,Bye,bears.13,at texans.6,patriots.11,jets.4,at dolphins.10,at jets.5,dolphins.0
dolphins,jaguars.15,at patriots.11,at jets.5,lions.7,at colts.4,Bye,bears.5,at texans.8,jets.10,patriots.6,at bengals.9,titans.8,at packers.10,at vikings.2,bills.10,raiders.6,at bills.0
patriots,at titans.10,dolphins.11,chiefs.1,Bye,at lions.3,at jaguars.8,bills.6,at jets.9,vikings.14,at dolphins.6,texans.10,packers.10,at bills.11,at bears.0,colts.4,at steelers.0,jets.0
jaguars,at dolphins.15,texans.10,at titans.6,colts.4,at giants.6,patriots.8,eagles.0 (Lon),at bills.10,steelers.8,Bye,at chiefs.3,redskins.4,jets.6,at cowboys.11,titans.2,at texans.9,at colts.0
titans,patriots.10,at bills.1,jaguars.6,jets.6,at texans.5,at giants.10,colts.3,at chargers.0 (Lon),Bye,at cowboys.4,ravens.2,at dolphins.8,at colts.4,eagles.1,at jaguars.2,redskins.10,texans.0
texans,browns.12,at jaguars.10,at colts.3,Bye,titans.5,at broncos.7,cowboys.2,dolphins.8,at eagles.4,giants.16,at patriots.10,bills.6,at redskins.12,colts.10,at jets.11,jaguars.9,at titans.0
colts,at eagles.0,at jets.2,texans.3,at jaguars.4,dolphins.4,bengals.4,at titans.3,at raiders.6,bills.9,Bye,at redskins.6,giants.11,titans.4,at texans.10,at patriots.4,cowboys.14,jaguars.0
panthers,at redskins.13,seahawks.16,giants.9,cowboys.8,at browns.14,at eagles.5,bengals.9,at lions.13,falcons.6,at steelers.15,at buccaneers.7,Bye,saints.13,ravens.7,at falcons.8,at saints.1,buccaneers.0
falcons,cowboys.8,at buccaneers.13,at steelers.11,bengals.10,at redskins.9,Bye,giants.10,ravens.12,at panthers.6,at saints.5,cardinals.8,at browns.5,buccaneers.14,at packers.0,panthers.8,at eagles.13,saints.0
buccaneers,at bengals.1,falcons.13,at saints.12,eagles.5,at ravens.10,browns.13,redskins.14,at cowboys.15,at giants.5,Bye,panthers.7,saints.9,at falcons.14,49ers.5,steelers.1,at bears.0,at panthers.0
saints,at giants.4,at vikings.9,buccaneers.12,redskins.9,at cowboys.8,Bye,steelers.11,at bengals.14,rams.15,falcons.5,eagles.1,at buccaneers.9,at panthers.13,browns.6,at ravens.14,panthers.1,at falcons.0
Broncos,seahawks.11,at ravens.8,at cardinals.7,rams.13,at chargers.12,texans.7,Bye,chiefs.11,at 49ers.11,at raiders.12,browns.11,at jets.7,raiders.7,steelers.9,at bengals.13,at chiefs.3,chargers.0
Chiefs,49ers.7,cardinals.7,at patriots.1,at steelers.3,raiders.13,ravens.15,at rams.13,at broncos.11,at seahawks.3,chargers.13,jaguars.3,at chargers.16,Bye,bengals.8,at browns.15,broncos.3,at raiders.0
Chargers,at raiders.3,bengals.14,at bills.14,49ers.15,broncos.12,at steelers.14,ravens.12,titans.0 (Lon),Bye,at chiefs.13,at seahawks.5,chiefs.16,at rams.2,cardinals.12,raiders.6,at browns.8,at broncos.0
Raiders,chargers.3,at 49ers.12,at bengals.13,browns.16,at chiefs.13,seahawks.0 (Lon),Bye,colts.6,at ravens.2,broncos.12,steelers.4,at cardinals.15,at broncos.7,rams.13,at chargers.6,at dolphins.6,chiefs.0
Lions,jets.14,at bears.3,rams.16,at dolphins.7,patriots.3,at bills.12,at packers.7,panthers.13,Bye,at cardinals.10,vikings.0,bears.12,at 49ers.8,seahawks.14,at cowboys.3,packers.11,at vikings.0
Bears,at cardinals.2,lions.3,at 49ers.8,at giants.2,seahawks.15,jets.11,at dolphins.5,Bye,packers.12,rams.8,at bills.13,at lions.12,vikings.9,patriots.0,at vikings.5,buccaneers.0,at packers.0
Packers,bills.9,at rams.15,at seahawks.15,at vikings.11,cardinals.16,49ers.3,lions.7,Bye,at bears.12,vikings.7,at jets.12,at patriots.10,dolphins.10,falcons.0,at redskins.7,at lions.11,bears.0
Vikings,at rams.5,saints.9,at eagles.4,packers.11,bills.7,Bye,at jets.8,cardinals.7,at patriots.14,at packers.7,at lions.0,49ers.13,at bears.9,dolphins.2,bears.5,at seahawks.12,lions.0
Cardinals,bears.2,at chiefs.7,broncos.7,at seahawks.12,at packers.16,rams.6,at 49ers.4,at vikings.7,redskins.13,lions.10,at falcons.8,raiders.15,Bye,at chargers.12,seahawks.9,at rams.4,49ers.0
Rams,vikings.5,packers.15,at lions.16,at broncos.13,Bye,at cardinals.6,chiefs.13,eagles.3,at saints.15,at bears.8,49ers.14,seahawks.14,chargers.2,at raiders.13,at 49ers.12,cardinals.4,at seahawks.0
