Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
giants,titans,buccaneers,at 49ers,at falcons,jaguars,at eagles,at panthers,cowboys,at colts,at redskins,eagles,Bye,saints,at cowboys,bears,at texans,redskins
redskins,colts,falcons,at buccaneers,at cardinals,panthers,at titans,texans,at saints,eagles,giants,at cowboys,Bye,at eagles,at jaguars,packers,cowboys,at giants
eagles,texans,at rams,falcons,at buccaneers,at saints,giants,at jaguars (Lon),colts,at redskins,panthers,at giants,Bye,redskins,at titans,cowboys,vikings,at cowboys
cowboys,buccaneers,at seahawks,at panthers,titans,Bye,at colts,lions,at giants,at texans,saints,redskins,at falcons,jaguars,giants,at eagles,at redskins,eagles
jets,at jaguars,at bears,vikings,texans,at lions,packers,bills,at dolphins,patriots,at titans,at browns,dolphins,Bye,colts,at bills,broncos,at patriots
bills,chargers,at packers,lions,Bye,at vikings,dolphins,at jets,at ravens,titans,at colts,at patriots,jaguars,bears,at texans,jets,patriots,at dolphins
dolphins,bears,at texans,raiders,at bengals,titans,at bills,at patriots,jets,jaguars,Bye,at vikings,at jets,patriots,lions,at colts,at packers,bills
patriots,chiefs,at titans,at jaguars,at lions,colts,at steelers,dolphins,packers,at jets,Bye,bills,texans,at dolphins,at bears,vikings,at bills,jets
jaguars,jets,at colts,patriots,Bye,at giants,at texans,eagles (Lon),steelers,at dolphins,texans,colts,at bills,at cowboys,redskins,at titans,at chiefs,titans
titans,at giants,patriots,texans,at cowboys,at dolphins,redskins,ravens,at chargers (Lon),at bills,jets,at texans,at colts,Bye,eagles,jaguars,colts,at jaguars
texans,at eagles,dolphins,at titans,at jets,browns,jaguars,at redskins,Bye,cowboys,at jaguars,titans,at patriots,colts,bills,at broncos,giants,at colts
colts,at redskins,jaguars,bengals,at raiders,at patriots,cowboys,Bye,at eagles,giants,bills,at jaguars,titans,at texans,at jets,dolphins,at titans,texans
panthers,at browns,at steelers,cowboys,saints,at redskins,Bye,giants,bengals,at falcons,at eagles,buccaneers,seahawks,at lions,ravens,at saints,at buccaneers,falcons
falcons,ravens,at redskins,at eagles,giants,bengals,at buccaneers,at packers,Bye,panthers,cardinals,at saints,cowboys,at browns,at steelers,buccaneers,saints,at panthers
buccaneers,at cowboys,at giants,redskins,eagles,at bears,falcons,at bengals,Bye,browns,49ers,at panthers,steelers,at ravens,saints,at falcons,panthers,at saints
saints,rams,at ravens,steelers,at panthers,eagles,Bye,at vikings,redskins,at bengals,at cowboys,falcons,browns,at giants,at buccaneers,panthers,at falcons,buccaneers
Broncos,steelers,at chargers,browns,at ravens,at chiefs,rams,Bye,seahawks,at cardinals,raiders,at bengals,at raiders,chargers,at 49ers,texans,at jets,chiefs
Chiefs,at patriots,bengals,cardinals,at steelers,broncos,Bye,at browns,at raiders,at rams (Mex),ravens,at seahawks,chargers,49ers,at chargers,raiders,jaguars,at broncos
Chargers,at bills,broncos,ravens,at browns,at steelers,cardinals,at rams,titans (Lon),Bye,bengals,raiders,at chiefs,at broncos,chiefs,49ers,at seahawks,at raiders
Raiders,at bengals,browns,at dolphins,colts,at ravens,seahawks (Lon),Bye,chiefs,steelers,at broncos,at chargers,broncos,at cardinals,rams,at chiefs,at 49ers,chargers
Lions,at cardinals,vikings,at bills,patriots,jets,at 49ers,at cowboys,bears,Bye,seahawks,packers,at vikings,panthers,at dolphins,rams,at bears,at packers
Bears,at dolphins,jets,seahawks,at packers,buccaneers,vikings,at cardinals,at lions,Bye,rams,at 49ers,packers,at bills,patriots,at giants,lions,at vikings
Packers,at vikings,bills,at rams,bears,cardinals,at jets,falcons,at patriots,49ers,Bye,at lions,at bears,vikings,at seahawks,at redskins,dolphins,lions
Vikings,packers,at lions,at jets,49ers,bills,at bears,saints,at rams,at seahawks,Bye,dolphins,lions,at packers,cardinals,at patriots,at eagles,bears
Cardinals,lions,49ers,at chiefs,redskins,at packers,at chargers,bears,at 49ers,broncos,at falcons,at rams,Bye,raiders,at vikings,seahawks,rams,at seahawks
Rams,at saints,eagles,packers,at seahawks,Bye,at broncos,chargers,vikings,chiefs (Mex),at bears,cardinals,at 49ers,seahawks,at raiders,at lions,at cardinals,49ers
Seahawks,at 49ers,cowboys,at bears,rams,Bye,at raiders (Lon),49ers,at broncos,vikings,at lions,chiefs,at panthers,at rams,packers,at cardinals,chargers,cardinals
49ers,seahawks,at cardinals,giants,at vikings,Bye,lions,at seahawks,cardinals,at packers,at buccaneers,bears,rams,at chiefs,broncos,at chargers,raiders,at rams
Ravens,at falcons,saints,at chargers,broncos,raiders,at browns,at titans,bills,Bye,at chiefs,steelers,at bengals,buccaneers,at panthers,browns,bengals,at steelers
Steelers,at broncos,panthers,at saints,chiefs,chargers,patriots,Bye,at jaguars,at raiders,browns,at ravens,at buccaneers,bengals,falcons,at bengals,at browns,ravens
Browns,panthers,at raiders,at broncos,chargers,at texans,ravens,chiefs,Bye,at buccaneers,at steelers,jets,at saints,falcons,bengals,at ravens,steelers,at bengals
Bengals,raiders,at chiefs,at colts,dolphins,at falcons,Bye,buccaneers,at panthers,saints,at chargers,broncos,ravens,at steelers,at browns,steelers,at ravens,browns
