Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
giants,buccaneers,at cowboys,titans,at panthers,jaguars,at eagles,at 49ers,bears,at redskins,saints,eagles,cowboys,Bye,at colts,at falcons,at texans,redskins
redskins,at cardinals,panthers,at eagles,colts,Bye,falcons,at saints,at buccaneers,giants,texans,at cowboys,at titans,eagles,at jaguars,packers,cowboys,at giants
eagles,cowboys,at titans,redskins,at buccaneers,Bye,giants,at jaguars (Lon),at saints,colts,falcons,at giants,texans,at redskins,panthers,at rams,vikings,at cowboys
cowboys,at eagles,giants,at panthers,at falcons,buccaneers,saints,at colts,at seahawks,Bye,jaguars,redskins,at giants,lions,titans,at texans,at redskins,eagles
jets,at browns,colts,at bears,vikings,at lions,dolphins,patriots,at bills,texans,at dolphins,at jaguars,Bye,at titans,packers,bills,broncos,at patriots
bills,jaguars,at vikings,at texans,titans,bears,at ravens,at packers,jets,lions,at colts,at patriots,Bye,chargers,dolphins,at jets,patriots,at dolphins
dolphins,raiders,lions,at colts,patriots,at packers,at jets,bears,at texans,at patriots,jets,titans,Bye,at bengals,at bills,at vikings,jaguars,bills
patriots,at steelers,packers,at jaguars,at dolphins,texans,chiefs,at jets,Bye,dolphins,at titans,bills,at bears,vikings,at lions,colts,at bills,jets
jaguars,at bills,at texans,patriots,texans,at giants,Bye,eagles (Lon),colts,at chiefs,at cowboys,jets,steelers,at colts,redskins,at titans,at dolphins,titans
titans,texans,eagles,at giants,at bills,ravens,at colts,at texans,at chargers (Lon),Bye,patriots,at dolphins,redskins,jets,at cowboys,jaguars,colts,at jaguars
texans,at titans,jaguars,bills,at jaguars,at patriots,Bye,titans,dolphins,at jets,at redskins,colts,at eagles,browns,at broncos,cowboys,giants,at colts
colts,bengals,at jets,dolphins,at redskins,at raiders,titans,cowboys,at jaguars,at eagles,bills,at texans,Bye,jaguars,giants,at patriots,at titans,texans
panthers,at saints,at redskins,cowboys,giants,at steelers,bengals,at lions,Bye,ravens,seahawks,at browns,buccaneers,at falcons,at eagles,saints,at buccaneers,falcons
falcons,ravens,at browns,at packers,cowboys,cardinals,at redskins,Bye,bengals,at steelers,at eagles,buccaneers,at saints,panthers,at buccaneers,giants,saints,at panthers
buccaneers,at giants,at ravens,browns,eagles,at cowboys,steelers,at bengals,redskins,49ers,Bye,at falcons,at panthers,saints,falcons,at bears,panthers,at saints
saints,panthers,at bengals,at vikings,browns,rams,at cowboys,redskins,eagles,Bye,at giants,at ravens,falcons,at buccaneers,steelers,at panthers,at falcons,buccaneers
Broncos,seahawks,at chargers,at raiders,Bye,chargers,at cardinals,browns,rams,at bengals,raiders,at 49ers,at ravens,steelers,texans,at chiefs,at jets,chiefs
Chiefs,chargers,at rams,cardinals,at steelers,bengals,at patriots,at chargers,49ers,jaguars,Bye,at seahawks,at raiders,ravens,at browns,broncos,raiders,at broncos
Chargers,at chiefs,broncos,ravens,at rams,at broncos,at browns,chiefs,titans (Lon),Bye,bengals,at steelers,49ers,at bills,raiders,cardinals,at seahawks,at raiders
Raiders,at dolphins,steelers,broncos,at ravens,colts,seahawks (Lon),Bye,at cardinals,browns,at broncos,at bengals,chiefs,rams,at chargers,at 49ers,at chiefs,chargers
Lions,bears,at dolphins,rams,at bears,jets,Bye,panthers,vikings,at bills,at 49ers,packers,at vikings,at cowboys,patriots,seahawks,at cardinals,at packers
Bears,at lions,seahawks,jets,lions,at bills,Bye,at dolphins,at giants,packers,at cardinals,vikings,patriots,at packers,at 49ers,buccaneers,rams,at vikings
Packers,vikings,at patriots,falcons,at seahawks,dolphins,at rams,bills,Bye,at bears,at vikings,at lions,cardinals,bears,at jets,at redskins,49ers,lions
Vikings,at packers,bills,saints,at jets,Bye,49ers,at rams,at lions,cardinals,packers,at bears,lions,at patriots,at seahawks,dolphins,at eagles,bears
Cardinals,redskins,49ers,at chiefs,at 49ers,at falcons,broncos,Bye,raiders,at vikings,bears,at rams,at packers,seahawks,rams,at chargers,lions,at seahawks
Rams,at 49ers,chiefs,at lions,chargers,at saints,packers,vikings,at broncos,at seahawks,Bye,cardinals,seahawks,at raiders,at cardinals,eagles,at bears,49ers
Seahawks,at broncos,at bears,49ers,packers,at 49ers,at raiders (Lon),Bye,cowboys,rams,at panthers,chiefs,at rams,at cardinals,vikings,at lions,chargers,cardinals
49ers,rams,at cardinals,at seahawks,cardinals,seahawks,at vikings,giants,at chiefs,at buccaneers,lions,broncos,at chargers,Bye,bears,raiders,at packers,at rams
Ravens,at falcons,buccaneers,at chargers,raiders,at titans,bills,steelers,at browns,at panthers,Bye,saints,broncos,at chiefs,at bengals,browns,bengals,at steelers
Steelers,patriots,at raiders,at bengals,chiefs,panthers,at buccaneers,at ravens,Bye,falcons,browns,chargers,at jaguars,at broncos,at saints,bengals,at browns,ravens
Browns,jets,falcons,at buccaneers,at saints,Bye,chargers,at broncos,ravens,at raiders,at steelers,panthers,bengals,at texans,chiefs,at ravens,steelers,at bengals
Bengals,at colts,saints,steelers,Bye,at chiefs,at panthers,buccaneers,at falcons,broncos,at chargers,raiders,at browns,dolphins,ravens,at steelers,at ravens,browns
