FingerPrint,Week,Iteration,Unscheduled,BaseFP,Count 
3.6601375144E10,17,91365,0,0.0,1
1.84395081664E11,16,91366,0,3.6601375144E10,1
5.14289577376E11,15,91368,0,1.84395081664E11,1
1.021216361056E12,14,91369,0,5.14289577376E11,1
1.972831095106E12,13,91370,0,1.021216361056E12,1
3.032838293794E12,12,91372,0,1.972831095106E12,1
4.585291854564E12,11,91373,0,3.032838293794E12,1
7.063997622372E12,10,91374,0,4.585291854564E12,1
9.43581457782E12,9,91377,0,7.063997622372E12,1
1.301416210832E13,8,91378,0,9.43581457782E12,1
1.7242729365839E13,7,91379,0,1.301416210832E13,1
2.2234841187935E13,6,91380,0,1.7242729365839E13,1
2.9345323102393E13,5,91381,0,2.2234841187935E13,1
3.6162376148049E13,4,91382,0,2.9345323102393E13,1
3.6162376148049E13,4,91404,0,2.9345323102393E13,2
3.6162376148049E13,4,91404,-1,-1,2
3.6162376148049E13,4,91405,0,2.9345323102393E13,3
3.6162376148049E13,4,91405,-1,-1,3
3.6162376148049E13,4,91406,0,2.9345323102393E13,4
3.6162376148049E13,4,91406,-1,-1,4
3.6162376148049E13,4,91407,0,2.9345323102393E13,5
3.6162376148049E13,4,91407,-1,-1,5
3.6162376148049E13,4,91408,0,2.9345323102393E13,6
3.6162376148049E13,4,91408,-1,-1,6
3.6162376148049E13,4,91409,0,2.9345323102393E13,7
3.6162376148049E13,4,91409,-1,-1,7
3.6162376148049E13,4,91410,0,2.9345323102393E13,8
3.6162376148049E13,4,91410,-1,-1,8
3.6162376148049E13,4,91411,0,2.9345323102393E13,9
3.6162376148049E13,4,91411,-1,-1,9
3.6162376148049E13,4,91412,0,2.9345323102393E13,10
3.6162376148049E13,4,91412,-1,-1,10
3.6162376148049E13,4,91413,0,2.9345323102393E13,11
3.6162376148049E13,4,91413,-1,-1,11
3.6162376148049E13,4,91414,0,2.9345323102393E13,12
3.6162376148049E13,4,91414,-1,-1,12
3.6162376148049E13,4,91415,0,2.9345323102393E13,13
3.6162376148049E13,4,91415,-1,-1,13
3.6162376148049E13,4,91416,0,2.9345323102393E13,14
3.6162376148049E13,4,91416,-1,-1,14
3.6162376148049E13,4,91417,0,2.9345323102393E13,15
3.6162376148049E13,4,91417,-1,-1,15
3.6162376148049E13,4,91418,0,2.9345323102393E13,16
3.6162376148049E13,4,91418,-1,-1,16
3.6162376148049E13,4,91419,0,2.9345323102393E13,17
3.6162376148049E13,4,91419,-1,-1,17
3.6162376148049E13,4,91420,0,2.9345323102393E13,18
3.6162376148049E13,4,91420,-1,-1,18
3.6162376148049E13,4,91421,0,2.9345323102393E13,19
3.6162376148049E13,4,91421,-1,-1,19
3.6162376148049E13,4,91422,0,2.9345323102393E13,20
3.6162376148049E13,4,91422,-1,-1,20
3.6162376148049E13,4,91423,0,2.9345323102393E13,21
3.6162376148049E13,4,91423,-1,-1,21
3.6162376148049E13,4,91424,0,2.9345323102393E13,22
3.6162376148049E13,4,91424,-1,-1,22
