FingerPrint,Week,Iteration,Unscheduled,Count ,,
6.64E+11,17,1,0,1,,
6.63652080288000E+11 Total,17,,,1,,17
1.20E+12,16,700,0,1,,16
1.20E+12,16,17536,0,1,,16
1.19993044003200E+12 Total,32,,,2,,16
1.26E+12,16,16783,0,1,,16
1.25588728707200E+12 Total,16,,,1,,16
1.26E+12,16,11386,0,1,,16
1.25805394345600E+12 Total,16,,,1,,16
1.28E+12,16,2951,0,1,,16
1.28E+12,16,6185,0,1,,16
1.28092843209600E+12 Total,32,,,2,,16
1.28E+12,16,12330,0,1,,16
1.28190155500800E+12 Total,16,,,1,,16
1.28E+12,16,2,0,1,,16
1.28E+12,16,19849,0,1,,16
1.28496983478400E+12 Total,32,,,2,,16
1.29E+12,16,9267,0,1,,16
1.28778370627200E+12 Total,16,,,1,,16
1.30E+12,16,5323,0,1,,16
1.30E+12,16,6966,0,1,,16
1.30E+12,16,10003,0,1,,16
1.30E+12,16,13078,0,1,,16
1.30E+12,16,14520,0,1,,16
1.29547190406400E+12 Total,80,,,5,,16
1.30E+12,16,15231,0,1,,16
1.30E+12,16,18351,0,1,,16
1.30145217875200E+12 Total,32,,,2,,16
1.31E+12,16,3812,0,1,,16
1.31014556374400E+12 Total,16,,,1,,16
1.32E+12,16,7795,0,1,,16
1.32141169312000E+12 Total,16,,,1,,16
1.32E+12,16,22857,0,1,,16
1.32446901638400E+12 Total,16,,,1,,16
1.33E+12,16,16017,0,1,,16
1.32659410217600E+12 Total,16,,,1,,16
1.33E+12,16,4570,0,1,,16
1.33E+12,16,21372,0,1,,16
1.33316978425600E+12 Total,32,,,2,,16
1.34E+12,16,10719,0,1,,16
1.33623806403200E+12 Total,16,,,1,,16
1.35E+12,16,2112,0,1,,16
1.35E+12,16,8569,0,1,,16
1.35E+12,16,19071,0,1,,16
1.35E+12,16,20692,0,1,,16
1.35E+12,16,22062,0,1,,16
1.34674013331200E+12 Total,80,,,5,,16
1.35E+12,16,1412,0,1,,16
1.35272040800000E+12 Total,16,,,1,,16
1.37E+12,16,13791,0,1,,16
1.37162532982400E+12 Total,16,,,1,,16
1.76E+12,15,16784,0,1,,15
1.76484170379200E+12 Total,15,,,1,,15
1.77E+12,15,11387,0,1,,15
1.77409256824600E+12 Total,15,,,1,,15
1.79E+12,15,17537,0,1,,15
1.79305414810200E+12 Total,15,,,1,,15
1.80E+12,15,6967,0,1,,15
1.80200012517400E+12 Total,15,,,1,,15
1.85E+12,15,701,0,1,,15
1.85436595516200E+12 Total,15,,,1,,15
1.86E+12,15,22063,2,1,,15
1.85895530586200E+12 Total,15,,,1,,15
1.86E+12,15,15232,0,1,,15
1.86363412532200E+12 Total,15,,,1,,15
1.87E+12,15,2113,0,1,,15
